drug,target
Frovatriptan,P28222
Sulfacetamide,P53848
Sulfacetamide,P0AC13
Sulfacetamide,P0C002
Disulfiram,P05091
Disulfiram,P09172
Alprazolam,P47869
Alprazolam,P78334
Alprazolam,P18505
Alprazolam,P14867
Alprazolam,O00591
Alprazolam,P47870
Alprazolam,O14764
Alprazolam,Q8N1C3
Alprazolam,P31644
Alprazolam,P34903
Alprazolam,P28472
Alprazolam,Q99928
Alprazolam,P48169
Alprazolam,Q16445
Alprazolam,Q9UN88
Alprazolam,P18507
Didanosine,P00491
Didanosine,Q72547
Dobutamine,P08588
Dobutamine,P07550
Testolactone,P11511
Methyclothiazide,P00915
Methyclothiazide,P00918
Methyclothiazide,Q13621
Methyclothiazide,P22748
Nilvadipine,P54289
Nilvadipine,Q13698
Nilvadipine,Q08289
Nilvadipine,Q8IZS8
Nilvadipine,Q01668
Nilvadipine,Q13936
Primaquine,P16083
Primaquine,P08729
Doxepin,P20309
Doxepin,P08913
Doxepin,P35367
Doxepin,Q12809
Doxepin,P14416
Doxepin,P28223
Doxepin,P18089
Doxepin,P31645
Doxepin,P08173
Doxepin,P25021
Doxepin,P25100
Doxepin,P08908
Doxepin,P08912
Doxepin,P35368
Doxepin,P35348
Doxepin,P11229
Doxepin,P28335
Doxepin,P41595
Doxepin,P18825
Doxepin,P23975
Doxepin,P50406
Doxepin,P08172
Doxepin,Q9H3N8
Raltitrexed,P04818
Raltitrexed,Q05932
Piperazine,P28472
Menthol,O75762
Menthol,P41145
Menthol,Q7Z2W7
Menthol,Q8NET8
Nedocromil,Q9Y271
Nedocromil,Q9NS75
Nedocromil,Q13258
Nedocromil,P21462
Nedocromil,P07900
Cilazapril,P12821
Diethylpropion,Q01959
Diethylpropion,P23975
Alizapride,P14416
Lumacaftor,P13569
Cycrimine,P11229
Cefonicid,P24228
Cefonicid,P02919
Cefonicid,P0AD68
Cefonicid,P0AD65
Cefonicid,P02918
Nitroprusside,P16066
Bromocriptine,P08913
Bromocriptine,P21917
Bromocriptine,P28221
Bromocriptine,P21918
Bromocriptine,P14416
Bromocriptine,P28223
Bromocriptine,P18089
Bromocriptine,P25100
Bromocriptine,P08908
Bromocriptine,P21728
Bromocriptine,P35368
Bromocriptine,P35348
Bromocriptine,P28222
Bromocriptine,P34969
Bromocriptine,P35462
Bromocriptine,P28335
Bromocriptine,P41595
Bromocriptine,P18825
Avanafil,O76074
Dapagliflozin,P31639
Tretinoin,P00352
Tretinoin,P13631
Tretinoin,P49788
Tretinoin,P48443
Tretinoin,Q8NFJ5
Tretinoin,O94788
Tretinoin,P51843
Tretinoin,P28702
Vincristine,P68366
Vincristine,P07437
L-Carnitine,P47989
L-Carnitine,P50416
L-Carnitine,Q9H015
L-Carnitine,P05164
L-Carnitine,Q8N8R3
L-Carnitine,P43155
L-Carnitine,P23786
L-Carnitine,P23141
L-Carnitine,Q9UKG9
L-Carnitine,O76082
L-Carnitine,O43772
Valsartan,P30556
Flurbiprofen,P23219
Flurbiprofen,P35354
Allylestrenol,P06401
Allylestrenol,P03372
Erythromycin,P02768
Erythromycin,Q12809
Erythromycin,O43193
Clarithromycin,Q12809
Clarithromycin,Q9Y6L6
Clarithromycin,Q9NPD5
Clarithromycin,P0A7J6
Rescinnamine,P12821
Docetaxel,P11137
Docetaxel,O75469
Docetaxel,P27816
Docetaxel,P10415
Docetaxel,P10636
Docetaxel,Q9H4B7
Ingenol Mebutate,P17252
Ingenol Mebutate,Q05655
Methoxamine,P25100
Methoxamine,P35368
Methoxamine,P35348
Nafarelin,P30968
Nafarelin,Q96P88
Tenoxicam,P23219
Tenoxicam,P35354
Phenprocoumon,Q9BQB6
Dyphylline,P29274
Dyphylline,Q13946
Dyphylline,Q9NP56
Dyphylline,Q08499
Dyphylline,Q08493
Dyphylline,P27815
Dyphylline,P30542
Dyphylline,Q07343
Ivermectin,P28472
Ivermectin,O75311
Acamprosate,P47869
Acamprosate,P78334
Acamprosate,Q8TCU5
Acamprosate,P18505
Acamprosate,P14867
Acamprosate,P41594
Acamprosate,O00591
Acamprosate,O60391
Acamprosate,P47870
Acamprosate,Q14957
Acamprosate,Q13224
Acamprosate,O14764
Acamprosate,Q8N1C3
Acamprosate,Q05586
Acamprosate,P31644
Acamprosate,P34903
Acamprosate,Q12879
Acamprosate,P28472
Acamprosate,Q99928
Acamprosate,O15399
Acamprosate,P48169
Acamprosate,Q16445
Acamprosate,Q9UN88
Acamprosate,P18507
Fluticasone furoate,P04150
Aminocaproic Acid,P00747
Aminocaproic Acid,P00750
Aminocaproic Acid,P08519
Florbetaben (18F),P05067
Ethinyl Estradiol,O75469
Ethinyl Estradiol,P03372
Captopril,P14780
Captopril,P12821
Captopril,P09960
Captopril,P08253
Halazepam,P47869
Halazepam,P78334
Halazepam,P28476
Halazepam,P18505
Halazepam,P14867
Halazepam,O00591
Halazepam,P47870
Halazepam,O14764
Halazepam,Q8N1C3
Halazepam,P31644
Halazepam,P34903
Halazepam,A8MPY1
Halazepam,P28472
Halazepam,Q99928
Halazepam,P48169
Halazepam,Q16445
Halazepam,Q9UN88
Halazepam,P24046
Halazepam,P18507
Debrisoquin,P23975
Gatifloxacin,Q59961
Gatifloxacin,P0A4L9
Gatifloxacin,P72525
Gatifloxacin,P72524
Esmolol,P08588
Pindolol,P08588
Pindolol,P08908
Pindolol,P28222
Pindolol,P07550
Alprostadil,P34995
Alprostadil,P43116
Cefuroxime,Q8XJ01
Cyclothiazide,P00915
Cyclothiazide,P00918
Cyclothiazide,P54710
Cyclothiazide,P22748
Dacarbazine,P52209
Dacarbazine,Q14181
Aminoglutethimide,P11511
Aminoglutethimide,P05108
Lactose,Q7Z4J2
Lactose,P26514
Lactose,P00722
Lactose,Q02834
Lactose,P01552
Lactose,Q7SI98
Lactose,P04958
Lactose,Q9NZD2
Lidocaine,P00533
Lidocaine,Q9Y5Y9
Lidocaine,Q14524
Lidocaine,Q15858
Chlorpropamide,Q09428
Fusidic Acid,P62580
Fusidic Acid,P00484
Fusidic Acid,P13551
Aprepitant,P25103
Prazosin,P08913
Prazosin,Q12809
Prazosin,P18089
Prazosin,P25100
Prazosin,P35368
Prazosin,P35348
Prazosin,Q9H252
Prazosin,Q9NS40
Hexachlorophene,O14521
Hexachlorophene,P00367
Hexachlorophene,P06149
Vecuronium,Q15822
Vorinostat,Q13547
Vorinostat,Q9BY41
Vorinostat,Q92769
Vorinostat,O15379
Vorinostat,O67135
Vorinostat,Q9UBN7
Solifenacin,P20309
Solifenacin,P08173
Solifenacin,P08912
Solifenacin,P11229
Solifenacin,P08172
Loratadine,P35367
Pseudoephedrine,P01100
Pseudoephedrine,P08913
Pseudoephedrine,P18850
Pseudoephedrine,P08588
Pseudoephedrine,P31645
Pseudoephedrine,P18846
Pseudoephedrine,O95644
Pseudoephedrine,Q8WYK2
Pseudoephedrine,P35348
Pseudoephedrine,P18847
Pseudoephedrine,P01375
Pseudoephedrine,P07550
Pseudoephedrine,P15336
Pseudoephedrine,Q01959
Pseudoephedrine,Q9Y2D1
Pseudoephedrine,P23975
Pseudoephedrine,P18848
Pseudoephedrine,P05412
Pseudoephedrine,P60568
Pseudoephedrine,P17544
Eliglustat,Q16739
Penciclovir,P04293
Penciclovir,P06478
Sulfaphenazole,P0AC13
Pentobarbital,P47869
Pentobarbital,P78334
Pentobarbital,P36544
Pentobarbital,Q8TCU5
Pentobarbital,P18505
Pentobarbital,P43681
Pentobarbital,P14867
Pentobarbital,O00591
Pentobarbital,O60391
Pentobarbital,P47870
Pentobarbital,P42262
Pentobarbital,Q13002
Pentobarbital,Q14957
Pentobarbital,Q13224
Pentobarbital,O14764
Pentobarbital,Q8N1C3
Pentobarbital,Q05586
Pentobarbital,P31644
Pentobarbital,P34903
Pentobarbital,Q12879
Pentobarbital,P28472
Pentobarbital,Q99928
Pentobarbital,O15399
Pentobarbital,P48169
Pentobarbital,Q16445
Pentobarbital,Q9UN88
Pentobarbital,P18507
Isocarboxazid,P21397
Isocarboxazid,P27338
Hydroxocobalamin,Q99707
Hydroxocobalamin,Q9BXJ7
Hydroxocobalamin,Q9Y4U1
Hydroxocobalamin,Q96EY8
Hydroxocobalamin,Q8IVH4
Hydroxocobalamin,P22033
Hydroxocobalamin,Q9UBK8
Hydroxocobalamin,P20061
Hydroxocobalamin,O60494
Pramipexole,P08913
Pramipexole,P21917
Pramipexole,P28221
Pramipexole,P21918
Pramipexole,P14416
Pramipexole,P28223
Pramipexole,P18089
Pramipexole,P08908
Pramipexole,P21728
Pramipexole,P28222
Pramipexole,P35462
Pramipexole,P28335
Pramipexole,P41595
Pramipexole,P18825
Rifampicin,P02768
Rifampicin,O75469
Rifampicin,O94956
Rifampicin,P0A8V2
Rifampicin,Q16850
Rifampicin,Q9Y6L6
Rifampicin,Q9NPD5
Rifampicin,P46721
Rifampicin,P0A8T7
Clonazepam,P47869
Clonazepam,P78334
Clonazepam,P18505
Clonazepam,P14867
Clonazepam,O00591
Clonazepam,P47870
Clonazepam,P30536
Clonazepam,O14764
Clonazepam,Q8N1C3
Clonazepam,P31644
Clonazepam,P34903
Clonazepam,P28472
Clonazepam,Q99928
Clonazepam,P48169
Clonazepam,Q16445
Clonazepam,Q9UN88
Clonazepam,P18507
Codeine,P35372
Codeine,P41145
Codeine,P41143
Milnacipran,Q8TCU5
Milnacipran,P31645
Milnacipran,O60391
Milnacipran,Q14957
Milnacipran,Q13224
Milnacipran,Q05586
Milnacipran,Q12879
Milnacipran,O15399
Milnacipran,P23975
Methsuximide,O43497
Imatinib,P07333
Imatinib,P04629
Imatinib,A9UF02
Imatinib,P09619
Imatinib,Q08345
Imatinib,O43519
Imatinib,P16234
Imatinib,P00519
Imatinib,P10721
Trandolapril,P12821
Carbachol,P11229
Carbachol,Q15822
Carbachol,P08172
Indacaterol,P07550
Arbekacin,P0A7S3
Triamterene,P37088
Triamterene,P51172
Triamterene,P51168
Triamterene,P51170
Beclomethasone dipropionate,P04150
Vardenafil,Q13956
Vardenafil,O76074
Vardenafil,P18545
Amrubicin,P11388
Pravastatin,P04035
Triazolam,P47869
Triazolam,P78334
Triazolam,P28476
Triazolam,P18505
Triazolam,P14867
Triazolam,O00591
Triazolam,P47870
Triazolam,P30536
Triazolam,O14764
Triazolam,Q8N1C3
Triazolam,P31644
Triazolam,P34903
Triazolam,A8MPY1
Triazolam,P28472
Triazolam,Q99928
Triazolam,P48169
Triazolam,Q16445
Triazolam,Q9UN88
Triazolam,P24046
Triazolam,P18507
Paromomycin,Q5SHN7
Desvenlafaxine,P31645
Desvenlafaxine,P23975
Tetrahydrofolic acid,O95954
Tetrahydrofolic acid,P13995
Tetrahydrofolic acid,P31939
Tetrahydrofolic acid,Q96DP5
Tetrahydrofolic acid,P48728
Tetrahydrofolic acid,Q99707
Tetrahydrofolic acid,Q53ET4
Tetrahydrofolic acid,P11586
Tetrahydrofolic acid,P42898
Tetrahydrofolic acid,P34897
Tetrahydrofolic acid,O75891
Tetrahydrofolic acid,P34896
Macitentan,P24530
Macitentan,P25101
Rolitetracycline,P0A7X3
Phenindione,Q9BQB6
Torasemide,Q13621
Rufinamide,P41594
Rufinamide,Q15858
Pyruvic acid,O15403
Pyruvic acid,P11177
Pyruvic acid,O15375
Pyruvic acid,P14618
Pyruvic acid,P80404
Pyruvic acid,P53985
Pyruvic acid,O95907
Pyruvic acid,P36021
Pyruvic acid,O15374
Pyruvic acid,P11498
Pyruvic acid,Q9BYV1
Pyruvic acid,O60669
Pyruvic acid,P30613
Pyruvic acid,O15427
Calcidiol,P11473
L-Isoleucine,Q9NSE4
L-Isoleucine,P54687
L-Isoleucine,P41252
L-Isoleucine,P45954
L-Isoleucine,O15382
Naloxone,P35372
Naloxone,P41145
Naloxone,O00206
Naloxone,P16220
Naloxone,P03372
Naloxone,P41143
Thiamylal,P14867
Thiamylal,Q14654
Thiamylal,Q15842
Molindone,P14416
Molindone,P28223
Molindone,P08908
Molindone,P11229
Parecoxib,P35354
Parecoxib,P02788
Betazole,P25021
Apraclonidine,P08913
Apraclonidine,P18089
Apraclonidine,P35348
Ginkgo biloba,P23415
Ginkgo biloba,P14867
Ginkgo biloba,P47870
Ginkgo biloba,P23975
Ginkgo biloba,P14555
Ginkgo biloba,P18507
Echothiophate,P06276
L-Threonine,Q8IYQ7
L-Threonine,P26639
L-Threonine,Q9BW92
Orphenadrine,P35367
Orphenadrine,Q8TCU5
Orphenadrine,Q9Y5Y9
Orphenadrine,O60391
Orphenadrine,Q05586
Orphenadrine,O15399
Orphenadrine,P23975
Granisetron,P46098
Estrone sulfate,Q92731
Estrone sulfate,P03372
Halcinonide,Q99835
Lorazepam,P47869
Lorazepam,P78334
Lorazepam,P18505
Lorazepam,P14867
Lorazepam,O00591
Lorazepam,P47870
Lorazepam,P30536
Lorazepam,O14764
Lorazepam,Q8N1C3
Lorazepam,P31644
Lorazepam,P34903
Lorazepam,P28472
Lorazepam,Q99928
Lorazepam,P48169
Lorazepam,Q16445
Lorazepam,Q9UN88
Lorazepam,P18507
Irinotecan,Q969P6
Irinotecan,P11387
Remikiren,P00797
Nitrofural,P61889
Nitrofural,P06715
Nitrofural,P77390
Nitrofural,P07003
Glucosamine,P14780
Glucosamine,P01579
Glucosamine,P01375
Glucosamine,P33673
Glucosamine,Q00653
Betahistine,P35367
Betahistine,Q9Y5N1
Iloprost,P00750
Iloprost,Q08499
Iloprost,Q08493
Iloprost,P27815
Iloprost,Q07343
Iloprost,P34995
Iloprost,P43119
Histamine Phosphate,P35367
Histamine Phosphate,Q9Y5N1
Histamine Phosphate,P25021
Histamine Phosphate,Q9H3N8
Chlorothiazide,P00915
Chlorothiazide,P00918
Chlorothiazide,P55017
Chlorothiazide,P22748
Nicotinamide,P00338
Nicotinamide,P09874
Nicotinamide,P11439
Nicotinamide,Q9NXA8
Nicotinamide,Q10588
Testosterone Propionate,P10275
Metronidazole,Q16850
Metronidazole,P29166
Metronidazole,O25608
Roxithromycin,P08183
Roxithromycin,P0A7J6
Amisulpride,P14416
Amisulpride,P28223
Amisulpride,P34969
Amisulpride,P35462
Dorzolamide,P00915
Dorzolamide,P00918
Dorzolamide,P22748
Suprofen,P23219
Suprofen,P35354
Lercanidipine,Q06432
Diethylcarbamazine,P23219
Diethylcarbamazine,P09917
L-Cysteine,Q9BZV2
L-Cysteine,P16455
L-Cysteine,P49589
L-Cysteine,P48637
L-Cysteine,P48506
L-Cysteine,Q9Y600
L-Cysteine,P35520
L-Cysteine,Q9Y697
L-Cysteine,Q16857
L-Cysteine,P48507
L-Cysteine,Q9HA77
L-Cysteine,P17174
L-Cysteine,Q16878
L-Cysteine,P32929
Pregabalin,O00555
Alclometasone,P04150
Ondansetron,Q13639
Ondansetron,P35372
Ondansetron,P08908
Ondansetron,P46098
Ondansetron,P28222
L-Methionine,Q99707
L-Methionine,Q9H2M3
L-Methionine,P50579
L-Methionine,Q93088
L-Methionine,Q9UBK8
Toremifene,P03372
Clofarabine,P09884
Clofarabine,P23921
Protriptyline,P31645
Protriptyline,P23975
Potassium Chloride,Q9H2X9
Potassium Chloride,Q13621
Potassium Chloride,Q9UP95
Potassium Chloride,Q9UHW9
Potassium Chloride,Q9Y666
Potassium Chloride,P55011
Carprofen,P23219
Carprofen,P35354
Demeclocycline,P0A7V8
Demeclocycline,P0A7X3
Pioglitazone,P37231
Paroxetine,P20309
Paroxetine,P28223
Paroxetine,P31645
Paroxetine,P08173
Paroxetine,P08912
Paroxetine,P11229
Paroxetine,P23975
Paroxetine,P08172
Tenofovir alafenamide,Q72547
Bacampicillin,Q8XJ01
L-Aspartic Acid,P30520
L-Aspartic Acid,Q96HD9
L-Aspartic Acid,Q12797
L-Aspartic Acid,P45381
L-Aspartic Acid,P00505
L-Aspartic Acid,Q7L266
L-Aspartic Acid,P22234
L-Aspartic Acid,Q03154
L-Aspartic Acid,P08243
L-Aspartic Acid,Q8N142
L-Aspartic Acid,P61626
L-Aspartic Acid,Q6PI48
L-Aspartic Acid,Q2TU84
L-Aspartic Acid,O75746
L-Aspartic Acid,P43005
L-Aspartic Acid,Q9UJS0
L-Aspartic Acid,P27708
L-Aspartic Acid,Q5T6L4
L-Aspartic Acid,P17174
L-Aspartic Acid,P14868
L-Aspartic Acid,P07998
L-Aspartic Acid,P00966
Arsenic trioxide,Q16881
Arsenic trioxide,P28482
Arsenic trioxide,P27361
Arsenic trioxide,P24385
Arsenic trioxide,O14920
Arsenic trioxide,P31749
Arsenic trioxide,P05412
Lomefloxacin,P43700
Lomefloxacin,P43702
Lomefloxacin,P11388
Eprosartan,P30556
Azatadine,P35367
Atorvastatin,P27487
Atorvastatin,P35869
Atorvastatin,P04035
Lisdexamfetamine,P35368
Lisdexamfetamine,Q01959
Amphetamine,P08913
Amphetamine,P21397
Amphetamine,P14416
Amphetamine,P13945
Amphetamine,Q16568
Amphetamine,P08588
Amphetamine,Q99870
Amphetamine,P18089
Amphetamine,P31645
Amphetamine,P25100
Amphetamine,P35368
Amphetamine,P35348
Amphetamine,P27338
Amphetamine,P07550
Amphetamine,Q96RJ0
Amphetamine,Q01959
Amphetamine,Q05940
Amphetamine,P18825
Amphetamine,P23975
Ambenonium,P22303
Methylphenobarbital,P47869
Methylphenobarbital,P36544
Methylphenobarbital,P43681
Methylphenobarbital,P14867
Methylphenobarbital,P42262
Methylphenobarbital,Q13002
Methylphenobarbital,P31644
Methylphenobarbital,P34903
Methylphenobarbital,P48169
Methylphenobarbital,Q16445
Pancuronium,P20309
Pancuronium,Q15822
Pancuronium,P08172
Mitotane,P10109
Mitotane,P15538
Piperacillin,Q7CRA4
Piperacillin,Q75Y35
Piperacillin,P0A3M6
Piperacillin,Q8DNB6
Nafcillin,Q7CRA4
Nafcillin,Q75Y35
Nafcillin,Q8DR59
Nafcillin,P0A3M6
Nafcillin,Q8DNB6
Enzalutamide,P10275
Desonide,P04150
Teniposide,P11388
Clofedanol,P35367
Lucanthone,P11387
Lucanthone,P27695
Lucanthone,P11388
Nandrolone decanoate,P10275
Flupentixol,P14416
Flupentixol,P28223
Flupentixol,P21728
Flupentixol,P35348
Flupentixol,P11229
Hetacillin,Q7CRA4
Hetacillin,Q75Y35
Hetacillin,Q8DR59
Hetacillin,P0A3M6
Hetacillin,Q8DNB6
Oxaprozin,P23219
Oxaprozin,P35354
Paramethasone,P04150
Levonorgestrel,P06401
Levonorgestrel,P10275
Levonorgestrel,P18405
Levonorgestrel,P03372
Metipranolol,P08588
Metipranolol,P07550
Olaparib,Q9Y6F1
Olaparib,P09874
Olaparib,Q9UGN5
Flibanserin,P21917
Flibanserin,P28223
Flibanserin,P08908
Capecitabine,P04818
Cyanocobalamin,Q99707
Cyanocobalamin,Q9Y4U1
Cyanocobalamin,P42898
Cyanocobalamin,Q8IVH4
Cyanocobalamin,P22033
Cyanocobalamin,Q9UBK8
Ramipril,P12821
Isosorbide Mononitrate,P33402
Tavaborole,Q9HGT2
Tripelennamine,P35367
Meropenem,P24228
Histrelin,P30968
Alimemazine,P35367
Regorafenib,P42685
Regorafenib,P11362
Regorafenib,Q16832
Regorafenib,P04629
Regorafenib,Q15759
Regorafenib,P09619
Regorafenib,P35968
Regorafenib,P17948
Regorafenib,Q02763
Regorafenib,P16234
Regorafenib,P04049
Regorafenib,P07949
Regorafenib,P35916
Regorafenib,P15056
Regorafenib,P21802
Regorafenib,P00519
Regorafenib,P10721
Regorafenib,P29317
Risedronate,P14324
Stavudine,Q72547
Secobarbital,P47869
Secobarbital,P36544
Secobarbital,Q8TCU5
Secobarbital,P43681
Secobarbital,P14867
Secobarbital,O60391
Secobarbital,P42262
Secobarbital,Q13002
Secobarbital,Q14957
Secobarbital,Q13224
Secobarbital,Q05586
Secobarbital,P31644
Secobarbital,P34903
Secobarbital,Q12879
Secobarbital,O15399
Secobarbital,P48169
Secobarbital,Q16445
Fluocinolone Acetonide,P04150
Ceftriaxone,Q9NSA0
Ceftriaxone,P0A3M6
Ceftriaxone,P46059
Ceftriaxone,Q8TCC7
Ceftriaxone,Q4U2R8
Roflumilast,Q08499
Roflumilast,Q08493
Roflumilast,P27815
Roflumilast,Q07343
Amantadine,Q8TCU5
Amantadine,P14416
Amantadine,P21430
Dapiprazole,P25100
Dapiprazole,P35368
Dapiprazole,P35348
Gemcitabine,P04818
Gemcitabine,P30085
Gemcitabine,P23921
Amrinone,Q14432
Amrinone,P01375
Amrinone,Q07343
Chenodeoxycholic acid,Q96RI1
Epinephrine,P08913
Epinephrine,P00439
Epinephrine,P13945
Epinephrine,P08588
Epinephrine,P18089
Epinephrine,P25100
Epinephrine,P35368
Epinephrine,P35348
Epinephrine,P01375
Epinephrine,P07550
Epinephrine,P18825
Hydrocortamate,P04150
Diphemanil Methylsulfate,P20309
Trimetazidine,P09110
Dofetilide,Q12809
Dofetilide,O95069
Dofetilide,Q14500
Sitaxentan,P24530
Sitaxentan,P25101
Isopropamide,P20309
Isopropamide,P08173
Zaleplon,P14867
Zaleplon,P30536
Dimenhydrinate,P35367
Pentolinium,Q9GZZ6
Pentolinium,P30926
Pentolinium,P32297
Guanethidine,P23975
Amobarbital,P47869
Amobarbital,P36544
Amobarbital,P43681
Amobarbital,P14867
Amobarbital,P42262
Amobarbital,Q13002
Amobarbital,P31644
Amobarbital,P34903
Amobarbital,P48169
Amobarbital,Q16445
Pivmecillinam,Q8XJ01
Econazole,P10613
Cinalukast,Q9Y271
Cyclandelate,P54289
Cyclandelate,P23141
Betamethasone,P04150
Benzocaine,Q9Y5Y9
Bepridil,P54750
Bepridil,Q01064
Bepridil,O95180
Bepridil,P05023
Bepridil,P63316
Bepridil,O00555
Bepridil,P62158
Bepridil,Q9NY47
Bepridil,P51787
Heptabarbital,P47869
Heptabarbital,P36544
Heptabarbital,P43681
Heptabarbital,P14867
Heptabarbital,P42262
Heptabarbital,Q13002
Heptabarbital,P31644
Heptabarbital,P34903
Heptabarbital,P48169
Heptabarbital,Q16445
Palonosetron,P46098
Sulfadoxine,P13922
Sulfadoxine,Q27738
Methoxyflurane,P47869
Methoxyflurane,Q09470
Methoxyflurane,P78334
Methoxyflurane,P23415
Methoxyflurane,P18505
Methoxyflurane,P14867
Methoxyflurane,P42261
Methoxyflurane,O00591
Methoxyflurane,P47870
Methoxyflurane,P98194
Methoxyflurane,O14764
Methoxyflurane,Q8N1C3
Methoxyflurane,P31644
Methoxyflurane,P34903
Methoxyflurane,P30049
Methoxyflurane,P28472
Methoxyflurane,Q99928
Methoxyflurane,P03886
Methoxyflurane,P48169
Methoxyflurane,Q16445
Methoxyflurane,Q9UN88
Methoxyflurane,P18507
Cefamandole,Q70KI2
Vapreotide,P30874
Vapreotide,P35346
Vapreotide,P25103
Fluocinonide,P04150
Fluocinonide,Q99835
Tetryzoline,P35348
Phenylpropanolamine,P08913
Phenylpropanolamine,P08588
Phenylpropanolamine,P21728
Phenylpropanolamine,P35348
Phenylpropanolamine,P07550
Sulfapyridine,Q49184
Gefitinib,P00533
Bambuterol,P07550
L-Ornithine,O95190
L-Ornithine,P00480
L-Ornithine,P04181
L-Ornithine,P05089
L-Ornithine,Q9Y619
L-Ornithine,P54368
L-Ornithine,P52569
L-Ornithine,O43246
L-Ornithine,P50440
L-Ornithine,Q8WY07
L-Ornithine,P78540
L-Ornithine,Q9UMX2
L-Ornithine,Q9BXI2
L-Ornithine,P30825
Salbutamol,P08588
Salbutamol,P07550
Tamsulosin,P25100
Tamsulosin,P35368
Tamsulosin,P35348
Formoterol,P07550
Theobromine,P29274
Theobromine,P30542
Theobromine,Q07343
Indecainide,Q14524
Butethal,P47869
Butethal,P36544
Butethal,P43681
Butethal,P14867
Butethal,P42262
Butethal,Q13002
Butethal,P31644
Butethal,P34903
Butethal,P48169
Butethal,Q16445
Pasireotide,P32745
Pasireotide,P30874
Pasireotide,P30872
Pasireotide,P35346
Lymecycline,P0A7V8
Lymecycline,P0A7X3
Umeclidinium,P20309
Umeclidinium,P08173
Umeclidinium,P08912
Umeclidinium,P11229
Umeclidinium,P08172
N-Acetyl-D-glucosamine,P54802
N-Acetyl-D-glucosamine,O60512
N-Acetyl-D-glucosamine,P15291
N-Acetyl-D-glucosamine,Q9UJ70
N-Acetyl-D-glucosamine,P51606
N-Acetyl-D-glucosamine,O60909
N-Acetyl-D-glucosamine,Q9UK23
N-Acetyl-D-glucosamine,O60513
Cytarabine,P06746
Armodafinil,Q01959
Degarelix,P30968
Cinoxacin,P43700
Phendimetrazine,P35368
Phendimetrazine,P35348
Phendimetrazine,P23975
Theophylline,P29274
Theophylline,O76074
Theophylline,Q14432
Theophylline,Q92769
Theophylline,P27815
Theophylline,P30542
Theophylline,P29275
Theophylline,Q07343
Imipenem,P42971
Imipenem,P02919
Imipenem,P0AD65
Imipenem,P00807
Imipenem,P02918
Isoprenaline,P27986
Isoprenaline,P13945
Isoprenaline,P08588
Isoprenaline,Q92569
Isoprenaline,Q4ZHU6
Isoprenaline,P28482
Isoprenaline,O00459
Isoprenaline,P07550
Ibutilide,P54289
Ibutilide,Q12809
Ibutilide,Q06432
Ibutilide,Q14654
Ibutilide,Q9Y257
Ibutilide,Q02641
Ibutilide,Q13936
Ibutilide,O00180
Ibutilide,Q9H252
Ibutilide,Q9NS40
Oseltamivir,Q99519
Oseltamivir,Q9Y3R4
Oseltamivir,P11485
Oseltamivir,P23141
Methadyl Acetate,P35372
Vindesine,Q9H4B7
Miconazole,Q92952
Miconazole,Q12809
Miconazole,Q9H2S1
Miconazole,Q12791
Miconazole,P35228
Miconazole,Q9UGI6
Miconazole,P10613
Miconazole,Q9NPA1
Miconazole,P29474
Miconazole,Q9Y691
Miconazole,Q86W47
Miconazole,Q16558
Miconazole,O15554
Miconazole,Q9H252
Miconazole,Q9NS40
Mefenamic acid,P23219
Mefenamic acid,P35354
Chlorthalidone,Q13621
Fluvastatin,P04035
Tris,P06653
Tris,P0AFB1
Tris,P15692
Tris,P07585
Tris,Q8WVQ1
Tris,P01556
Tris,P44160
Tris,P12996
Tris,Q96FI4
Tris,P17707
Tris,Q8UCK6
Tris,Q9X0N8
Tris,Q52369
Etoricoxib,P35354
Varenicline,P36544
Varenicline,P43681
Varenicline,Q15825
Varenicline,P32297
Prochlorperazine,P14416
Fluphenazine,P14416
Fluphenazine,P21728
Fluphenazine,P62158
Topiramate,P47869
Topiramate,P78334
Topiramate,P00918
Topiramate,P18505
Topiramate,P14867
Topiramate,P39086
Topiramate,O00591
Topiramate,P47870
Topiramate,O14764
Topiramate,Q8N1C3
Topiramate,P31644
Topiramate,P34903
Topiramate,P35498
Topiramate,P22748
Topiramate,P28472
Topiramate,Q99928
Topiramate,P48169
Topiramate,Q16445
Topiramate,Q9UN88
Topiramate,P18507
Olanzapine,P47869
Olanzapine,P47898
Olanzapine,P20309
Olanzapine,P78334
Olanzapine,P08913
Olanzapine,P21917
Olanzapine,P35367
Olanzapine,P28221
Olanzapine,P18505
Olanzapine,P14867
Olanzapine,P21918
Olanzapine,P14416
Olanzapine,P13945
Olanzapine,P28223
Olanzapine,P08588
Olanzapine,P18089
Olanzapine,O00591
Olanzapine,P47870
Olanzapine,P08173
Olanzapine,P25021
Olanzapine,P08908
Olanzapine,P08912
Olanzapine,P21728
Olanzapine,P28566
Olanzapine,P35368
Olanzapine,P46098
Olanzapine,P35348
Olanzapine,P28222
Olanzapine,O14764
Olanzapine,Q8N1C3
Olanzapine,P31644
Olanzapine,P34903
Olanzapine,P07550
Olanzapine,P28472
Olanzapine,P11229
Olanzapine,Q99928
Olanzapine,P34969
Olanzapine,P48169
Olanzapine,Q16445
Olanzapine,P35462
Olanzapine,P28335
Olanzapine,P41595
Olanzapine,P18825
Olanzapine,P50406
Olanzapine,P08172
Olanzapine,Q9UN88
Olanzapine,Q9H3N8
Olanzapine,P18507
